"","X","Vicuna.RAI","Shannon.Index","Chinchillula.sahamae","Lagidium.viscacia","Lycalopex.culpaeus","Vicugna.vicugna","Hippocamelus.antisensis","Muscisaxicola.cinereus","Leopardus.pajeros","Muscisaxicola.griseus","Leopardus.jacobitus","Geospizopsis.unicolor","Asthenes.humilis","Idiopsar.speculifer","Muscisaxicola.flavinucha","Cinclodes.albiventris","Puma.concolor","Muscisaxicola.juninensis","Buteo.polyosoma","Punomys.kofordi","Chloephaga.melanoptera","Attagis.gayi","Phalcoboenus.megalopterus","Geospizopsis.plebejus","Tinamotis.pentlandii","Spinus.atratus","Lepus.europaeus","Bubo.magellanicus","Falco.femoralis","Gallinago.andina","Muscisaxicola.frontalis","Muscisaxicola.albilora","Thinocorus.orbignyianus","Phyllotis.osilae","Muscisaxicola.maculirostris","Calomys.lepidus","Animal.Richness","latrine","Observed","Shannon","elevation","InvSimpson","Pielou","replicate","latrine_trt_month","month-collected"
"20","L80",2.64,1.32245296,0,80,12,22,4,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,"L80",608,4.4613843238698,5363,22.5435238893198,0.446756165749173,2,"L80_latrine_dry","dry"
"21","L80",2.64,1.32245296,0,80,12,22,4,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,"L80",603,4.68453564893852,5363,46.4833914825131,0.469102196293135,1,"L80_latrine_wet","wet"
"22","L80",2.64,1.32245296,0,80,12,22,4,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,"L80",609,4.71388973263205,5363,49.2087153425207,0.472041669095297,2,"L80_latrine_wet","wet"
"23","L80",2.64,1.32245296,0,80,12,22,4,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,"L80",615,3.88991070024652,5363,10.4401008896065,0.389529675856622,1,"L80_latrine_dry","dry"
"24","L81-1",1.39,1.236195248,0,161,19,12,2,2,2,2,0,1,2,5,0,0,0,0,20,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,"L81-1",NA,NA,NA,NA,NA,NA,NA,NA
"25","L81-2",1.25,1.231061689,0,199,20,11,2,3,4,0,1,3,2,9,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"L81-2",NA,NA,NA,NA,NA,NA,NA,NA
"26","L83-1",1.11,1.296393289,0,78,13,18,6,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"L83-1",NA,NA,NA,NA,NA,NA,NA,NA
"27","L83-2",1.25,1.172664469,0,194,15,15,7,3,6,8,1,1,2,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,"L83-2",NA,NA,NA,NA,NA,NA,NA,NA
"28","L84-1",1.45,1.645891994,0,93,5,30,3,14,0,4,2,3,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2,0,0,13,"L84-1",NA,NA,NA,NA,NA,NA,NA,NA
"29","L84-2",1.43,1.246956621,0,98,6,14,0,1,2,8,0,0,1,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,"L84-2",NA,NA,NA,NA,NA,NA,NA,NA
